timestamp,num_request,size
1998-06-13 14:19:00,20229,76246046
1998-06-13 14:20:00,20906,81351484
1998-06-13 14:21:00,21178,73129963
1998-06-13 14:22:00,23967,82528964
1998-06-13 14:23:00,24673,88653657
1998-06-13 14:24:00,25545,86283544
1998-06-13 14:25:00,27885,108428355
1998-06-13 14:26:00,26373,104409589
1998-06-13 14:27:00,26351,92614802
1998-06-13 14:28:00,27654,102703284
1998-06-13 14:29:00,29401,98669705
1998-06-13 14:30:00,28646,105802271
1998-06-13 14:31:00,27379,95370898
1998-06-13 14:32:00,27342,92342478
1998-06-13 14:33:00,27973,104938359
1998-06-13 14:34:00,26920,115817747
1998-06-13 14:35:00,27221,97873303
1998-06-13 14:36:00,25674,92500642
1998-06-13 14:37:00,24664,98886467
1998-06-13 14:38:00,26097,108075095
1998-06-13 14:39:00,24468,96470929
1998-06-13 14:40:00,24620,2949036
1998-06-13 14:40:00,24771,97918986
1998-06-13 14:41:00,26017,102562393
1998-06-13 14:42:00,26550,113640372
1998-06-13 14:43:00,26383,102252523
1998-06-13 14:44:00,26316,106969772
1998-06-13 14:45:00,26782,114374271
1998-06-13 14:46:00,25698,108429540
1998-06-13 14:47:00,28080,116077618
1998-06-13 14:48:00,27188,116940090
1998-06-13 14:49:00,26951,112021495
1998-06-13 14:50:00,26357,103323402
1998-06-13 14:51:00,25553,102142477
1998-06-13 14:52:00,26544,113584246
1998-06-13 14:53:00,25328,104424411
1998-06-13 14:54:00,25092,117973183
1998-06-13 14:55:00,23273,114819362
1998-06-13 14:56:00,23485,103528592
1998-06-13 14:57:00,24543,99925240
1998-06-13 14:58:00,24728,105699904
1998-06-13 14:59:00,24603,102922938
1998-06-13 15:00:00,23968,93002912
1998-06-13 15:01:00,26061,134475263
1998-06-13 15:02:00,26372,114079023
1998-06-13 15:03:00,25488,106311546
1998-06-13 15:04:00,25022,93970619
1998-06-13 15:05:00,25840,108178117
1998-06-13 15:06:00,25107,112256625
1998-06-13 15:07:00,25158,109432132
1998-06-13 15:08:00,25410,99703891
1998-06-13 15:09:00,26403,104081139
1998-06-13 15:10:00,24986,100728388
1998-06-13 15:11:00,24930,104289414
1998-06-13 15:12:00,25317,116690947
1998-06-13 15:13:00,24622,99055321
1998-06-13 15:14:00,24072,106544247
1998-06-13 15:15:00,25161,105415023
1998-06-13 15:16:00,24519,100283053
1998-06-13 15:17:00,24826,107044535
1998-06-13 15:18:00,24436,99750719
1998-06-13 15:19:00,23390,91991782
1998-06-13 15:20:00,24262,89968128
1998-06-13 15:21:00,24261,97730031
1998-06-13 15:22:00,23735,100138281
1998-06-13 15:23:00,22889,99698951
1998-06-13 15:24:00,23293,96128656
1998-06-13 15:25:00,23551,99064535
1998-06-13 15:26:00,23038,114456526
1998-06-13 15:27:00,23373,100508249
1998-06-13 15:28:00,23267,112960470
1998-06-13 15:29:00,21768,88339236
1998-06-13 15:30:00,22332,88097459
1998-06-13 15:31:00,22866,112215001
1998-06-13 15:32:00,22589,91433790
1998-06-13 15:33:00,23277,96136515
1998-06-13 15:34:00,22673,101764344
1998-06-13 15:35:00,22416,93791308
1998-06-13 15:36:00,23310,88972200
1998-06-13 15:37:00,24359,90580572
1998-06-13 15:38:00,22879,89898078
1998-06-13 15:39:00,22448,85522950
1998-06-13 15:40:00,22963,88377814
1998-06-13 15:41:00,22815,86681450
1998-06-13 15:42:00,21949,88171754
1998-06-13 15:43:00,21949,90075880
1998-06-13 15:44:00,22470,81802993
1998-06-13 15:45:00,22913,99281555
1998-06-13 15:46:00,21491,88095885
1998-06-13 15:47:00,23156,95471259
1998-06-13 15:48:00,21306,90425477
1998-06-13 15:49:00,21128,83133207
1998-06-13 15:50:00,21657,89555864
1998-06-13 15:51:00,20714,81806585
1998-06-13 15:52:00,20579,83930648
1998-06-13 15:53:00,21780,86331922
1998-06-13 15:54:00,22308,109071134
1998-06-13 15:55:00,22780,94496410
1998-06-13 15:56:00,21404,85971537
1998-06-13 15:57:00,22241,84123955
1998-06-13 15:58:00,23044,89103875
1998-06-13 15:59:00,22445,79336824
1998-06-13 16:00:00,22778,87945909
1998-06-13 16:01:00,23258,91833253
1998-06-13 16:02:00,23716,85786937
1998-06-13 16:03:00,23868,91064483
1998-06-13 16:04:00,25399,96865119
1998-06-13 16:05:00,25117,99708018
1998-06-13 16:06:00,25263,92020759
1998-06-13 16:07:00,24684,92222465
1998-06-13 16:08:00,24785,94635590
1998-06-13 16:09:00,25144,92448743
1998-06-13 16:10:00,25864,84920368
1998-06-13 16:11:00,24235,86818587
1998-06-13 16:12:00,24605,77828361
1998-06-13 16:13:00,23845,77942653
1998-06-13 16:14:00,23676,84775856
1998-06-13 16:15:00,21931,80384235
1998-06-13 16:16:00,22611,75158046
1998-06-13 16:17:00,22529,92257412
1998-06-13 16:18:00,23176,91029960
1998-06-13 16:19:00,23135,96524220
1998-06-13 16:20:00,23744,87763070
1998-06-13 16:21:00,25294,98414074
1998-06-13 16:22:00,26047,91319306
1998-06-13 16:23:00,26565,88283690
1998-06-13 16:24:00,26559,89387735
1998-06-13 16:25:00,26035,101310323
1998-06-13 16:26:00,26971,96116303
1998-06-13 16:27:00,27103,96526719
1998-06-13 16:28:00,25773,98386749
1998-06-13 16:29:00,26436,99930222
1998-06-13 16:30:00,26453,92394544
1998-06-13 16:31:00,25168,91489532
1998-06-13 16:32:00,25025,100335759
1998-06-13 16:33:00,25702,94126824
1998-06-13 16:34:00,25025,90652936
1998-06-13 16:35:00,25631,98620644
1998-06-13 16:36:00,25264,99414815
1998-06-13 16:37:00,24149,91794870
1998-06-13 16:38:00,23237,90650506
1998-06-13 16:39:00,23760,85946964
1998-06-13 16:40:00,24931,88721144
1998-06-13 16:41:00,25610,96287475
1998-06-13 16:42:00,26219,95015118
1998-06-13 16:43:00,26876,100332232
1998-06-13 16:44:00,25246,106115069
1998-06-13 16:45:00,24544,92073898
1998-06-13 16:46:00,24515,99893415
1998-06-13 16:47:00,27363,100360202
1998-06-13 16:48:00,26234,84362104
1998-06-13 16:49:00,24183,93502469
1998-06-13 16:50:00,23481,81455577
1998-06-13 16:51:00,24306,96432048
1998-06-13 16:52:00,25133,103314700
1998-06-13 16:53:00,24462,92764608
1998-06-13 16:54:00,24044,94968475
1998-06-13 16:55:00,23755,91625308
1998-06-13 16:56:00,22928,97741470
1998-06-13 16:57:00,22921,84157611
1998-06-13 16:58:00,20950,91811158
1998-06-13 16:59:00,22084,90956972
1998-06-13 17:00:00,21464,87123718
1998-06-13 17:01:00,22473,88491712
1998-06-13 17:02:00,22992,77788225
1998-06-13 17:03:00,23347,88940248
1998-06-13 17:04:00,23508,77454229
1998-06-13 17:05:00,25581,105117004
1998-06-13 17:06:00,25790,90799116
1998-06-13 17:07:00,25749,92562981
1998-06-13 17:08:00,26486,98538812
1998-06-13 17:09:00,26046,86221130
1998-06-13 17:10:00,26634,95524040
1998-06-13 17:11:00,27444,91222913
1998-06-13 17:12:00,25172,86333591
1998-06-13 17:13:00,25441,97763878
1998-06-13 17:14:00,26281,87901705
1998-06-13 17:15:00,26318,89553321
1998-06-13 17:16:00,27913,98087929
1998-06-13 17:17:00,27908,108150300
