workload,reactive_result,proactive_result,ocpdas_result
workload_1998-06-10,0.118081180811808,0.0793357933579336,0.182656826568266
workload_1998-06-11,0.0950118764845606,0.0665083135391924,0.123515439429929
workload_1998-06-12,0.124792013311148,0.123128119800333,0.202995008319468
workload_1998-06-15,0.0630182421227197,0.0315091210613599,0.0945273631840796
workload_1998-06-16,0.169047619047619,0.138095238095238,0.230952380952381
workload_1998-06-17,0.147619047619048,0.102380952380952,0.183333333333333
workload_1998-06-18,0.204761904761905,0.188095238095238,0.230952380952381
workload_1998-06-19,0.279236276849642,0.291169451073986,0.350835322195704
workload_1998-06-22,0.24047619047619,0.2,0.278571428571429
workload_1998-06-23,0.0958904109589041,0.0684931506849315,0.119373776908023
workload_1998-06-24,0.170254403131115,0.148727984344423,0.197651663405088
workload_1998-06-25,0.11328125,0.060546875,0.1015625
workload_1998-06-26,0.0583657587548638,0.0583657587548638,0.0953307392996109
workload_1998-06-29,0.105263157894737,0.0799220272904483,0.101364522417154
workload_1998-06-30,0.0885416666666667,0.0815972222222222,0.0399305555555556
workload_1998-07-03,0.16015625,0.150390625,0.201171875
workload_1998-07-07,0.103321033210332,0.0885608856088561,0.18450184501845
workload_1998-07-08,0.147619047619048,0.0904761904761905,0.1
